community,tier,post_id,item_id,parent_id,is_post,thread_depth,author,title,body,body_length,has_link,has_code,score,reaction_count,num_replies,created_utc,discussion_number,discussion_title,discussion_category,discussion_state,is_answered,is_accepted_answer,tags,url,date,week,year_week,time_to_first_reply_hrs,replied_within_24h,is_ghost_post,is_first_contribution,author_total_contributions
vercel/next.js,popular,D_kwDOBC3Cis4AkJvN,D_kwDOBC3Cis4AkJvN,,True,1,FTello31,Turbopack Error: range start index 259128102 out of range for slice of length 113113,Turbopack version: `v16.1.0-canary.19-84-g3aa53984e` Next.js version: `0.0.0` (actually 16.1.1) Error message: ``` range start index 259128102 out of range for slice of length 113113 ```,195,False,True,1,1,0,2026-02-14 12:55:19+00:00,90002,Turbopack Error: range start index 259128102 out of range for slice of length 113113,Turbopack Error Report,open,False,False,,https://github.com/vercel/next.js/discussions/90002,2026-02-14,7,2026-W06,,False,True,True,1
vercel/next.js,popular,D_kwDOBC3Cis4AkJuJ,D_kwDOBC3Cis4AkJuJ,,True,1,AbuBakarSheraz,Turbopack Error: Failed to write app endpoint /page,Turbopack version: `d1bd5b58` Next.js version: `0.0.0` Error message: ``` Failed to write app endpoint /page Caused by: - Next.js package not found Debug info: - Execution of Project::hmr_version_state failed - Execution of Project::hmr_version failed - Execution of VersionedContentMap::get failed - Execution of VersionedContentMap::get_asset failed - Execution of VersionedContentMap::compute_entry failed - Execution of *emit_assets failed - Execution of all_assets_from_entries_operation failed - Execution of *all_assets_from_entries failed - Execution of endpoint_output_assets_operation failed - Execution of <AppEndpoint as Endpoint>::output failed - Failed to write app endpoint /page - Execution of AppEndpoint::output failed - Execution of AppEndpoint::app_page_entry failed - Execution of *get_app_page_entry failed - Execution of AppProject::rsc_module_context failed - Execution of *ModuleAssetContext::new failed - Execution of *AppProject::get_rsc_transitions failed - Execution of AppProject::ecmascript_client_reference_transition failed - Execution of *NextEcmascriptClientReferenceTransition::new failed - Execution of AppProject::ssr_transition failed - Execution of *FullContextTransition::new failed - Execution of AppProject::ssr_module_context failed - Execution of AppProject::shared_transition failed - Execution of *FullContextTransition::new failed - Execution of AppProject::shared_module_context failed - Execution of *ModuleAssetContext::new failed - Execution of get_server_resolve_options_context failed - Execution of get_next_server_import_map failed - Next.js package not found ```,1662,False,True,1,1,0,2026-02-14 12:26:59+00:00,90001,Turbopack Error: Failed to write app endpoint /page,Turbopack Error Report,open,False,False,,https://github.com/vercel/next.js/discussions/90001,2026-02-14,7,2026-W06,,False,True,True,1
vercel/next.js,popular,D_kwDOBC3Cis4AkJtr,D_kwDOBC3Cis4AkJtr,,True,1,tgdn,Turbopack Error: Input image not found,Turbopack version: `v16.0.9` Next.js version: `0.0.0` Error message: ``` Input image not found Debug info: - Execution of get_written_endpoint_with_issues_operation failed - Execution of PlainIssue::from_issue failed - Execution of PlainSource::from_source failed - Execution of <StructuredImageFileSource as Asset>::content failed - Execution of get_meta_data failed - Input image not found ```,411,False,True,1,1,0,2026-02-14 12:15:03+00:00,90000,Turbopack Error: Input image not found,Turbopack Error Report,closed,False,False,,https://github.com/vercel/next.js/discussions/90000,2026-02-14,7,2026-W06,,False,True,True,1
vercel/next.js,popular,D_kwDOBC3Cis4AkJsd,D_kwDOBC3Cis4AkJsd,,True,1,hiipraise,Turbopack Error: failed to write to C:\Users\CHAROM\OneDrive\Desktop\WORKTREE\DEVSTACK\YourVibe\free\.next\dev\static\chunks\src_app_layout_tsx_1cf6b850._.js,Turbopack version: `23c46498` Next.js version: `0.0.0` Error message: ``` failed to write to C:\Users\CHAROM\OneDrive\Desktop\WORKTREE\DEVSTACK\YourVibe\free\.next\dev\static\chunks\src_app_layout_tsx_1cf6b850._.js Caused by: - The requested operation cannot be performed on a file with a user-mapped section open. (os error 1224) ```,345,False,True,1,1,0,2026-02-14 11:48:03+00:00,89999,Turbopack Error: failed to write to C:\Users\CHAROM\OneDrive\Desktop\WORKTREE\DEVSTACK\YourVibe\free\.next\dev\static\chunks\src_app_layout_tsx_1cf6b850._.js,Turbopack Error Report,open,False,False,,https://github.com/vercel/next.js/discussions/89999,2026-02-14,7,2026-W06,,False,True,True,1
vercel/next.js,popular,D_kwDOBC3Cis4AkJr_,D_kwDOBC3Cis4AkJr_,,True,1,llaallii,Turbopack Error: Failed to write app endpoint /contact/page,Turbopack version: `23c46498` Next.js version: `0.0.0` Error message: ``` Failed to write app endpoint /contact/page Caused by: - Next.js package not found Debug info: - Execution of Project::hmr_version_state failed - Execution of Project::hmr_version failed - Execution of VersionedContentMap::get failed - Execution of VersionedContentMap::get_asset failed - Execution of VersionedContentMap::compute_entry failed - Execution of *emit_assets failed - Execution of all_assets_from_entries_operation failed - Execution of *all_assets_from_entries failed - Execution of endpoint_output_assets_operation failed - Execution of <AppEndpoint as Endpoint>::output failed - Failed to write app endpoint /contact/page - Execution of AppEndpoint::output failed - Execution of AppEndpoint::app_page_entry failed - Execution of *get_app_page_entry failed - Execution of AppProject::rsc_module_context failed - Execution of *ModuleAssetContext::new failed - Execution of *AppProject::get_rsc_transitions failed - Execution of AppProject::ecmascript_client_reference_transition failed - Execution of *NextEcmascriptClientReferenceTransition::new failed - Execution of AppProject::ssr_transition failed - Execution of *FullContextTransition::new failed - Execution of AppProject::ssr_module_context failed - Execution of AppProject::shared_transition failed - Execution of *FullContextTransition::new failed - Execution of AppProject::shared_module_context failed - Execution of *ModuleAssetContext::new failed - Execution of get_server_resolve_options_context failed - Execution of get_next_server_import_map failed - Next.js package not found ```,1678,False,True,1,1,0,2026-02-14 11:36:53+00:00,89998,Turbopack Error: Failed to write app endpoint /contact/page,Turbopack Error Report,open,False,False,,https://github.com/vercel/next.js/discussions/89998,2026-02-14,7,2026-W06,,False,True,True,1
vercel/next.js,popular,D_kwDOBC3Cis4AkJop,D_kwDOBC3Cis4AkJop,,True,1,falconX5,"Turbopack Error: Invalid segment Static(""user""), catch all segment must be the last segment modifying the path (segments: [Static(""api""), OptionalCatchAll(""slugs"")])","Turbopack version: `23c46498` Next.js version: `0.0.0` Error message: ``` Invalid segment Static(""user""), catch all segment must be the last segment modifying the path (segments: [Static(""api""), OptionalCatchAll(""slugs"")]) Debug info: - Execution of get_entrypoints_with_issues_operation failed - Execution of EntrypointsOperation::new failed - Execution of Project::entrypoints failed - Execution of AppProject::routes failed - Execution of directory_tree_to_entrypoints_internal failed - Execution of directory_tree_to_entrypoints_internal failed - Execution of directory_tree_to_entrypoints_internal failed - Invalid segment Static(""user""), catch all segment must be the last segment modifying the path (segments: [Static(""api""), OptionalCatchAll(""slugs"")]) ```",782,False,True,1,1,0,2026-02-14 10:20:36+00:00,89996,"Turbopack Error: Invalid segment Static(""user""), catch all segment must be the last segment modifying the path (segments: [Static(""api""), OptionalCatchAll(""slugs"")])",Turbopack Error Report,open,False,False,,https://github.com/vercel/next.js/discussions/89996,2026-02-14,7,2026-W06,,False,True,True,1
vercel/next.js,popular,D_kwDOBC3Cis4AkJnR,D_kwDOBC3Cis4AkJnR,,True,1,8sylla,Turbopack Error: Failed to write app endpoint /(public)/projects/page,Turbopack version: `ea1df5f2` Next.js version: `0.0.0` Error message: ``` Failed to write app endpoint /(public)/projects/page Caused by: - Next.js package not found Debug info: - Execution of Project::hmr_version_state failed - Execution of Project::hmr_version failed - Execution of VersionedContentMap::get failed - Execution of VersionedContentMap::get_asset failed - Execution of VersionedContentMap::compute_entry failed - Execution of *emit_assets failed - Execution of all_assets_from_entries_operation failed - Execution of *all_assets_from_entries failed - Execution of endpoint_output_assets_operation failed - Execution of <AppEndpoint as Endpoint>::output failed - Failed to write app endpoint /(public)/projects/page - Execution of AppEndpoint::output failed - Execution of AppEndpoint::app_page_entry failed - Execution of *get_app_page_entry failed - Execution of AppProject::rsc_module_context failed - Execution of *ModuleAssetContext::new failed - Execution of *AppProject::get_rsc_transitions failed - Execution of AppProject::ecmascript_client_reference_transition failed - Execution of *NextEcmascriptClientReferenceTransition::new failed - Execution of AppProject::ssr_transition failed - Execution of *FullContextTransition::new failed - Execution of AppProject::ssr_module_context failed - Execution of AppProject::shared_transition failed - Execution of *FullContextTransition::new failed - Execution of AppProject::shared_module_context failed - Execution of *ModuleAssetContext::new failed - Execution of get_server_resolve_options_context failed - Execution of get_next_server_import_map failed - Next.js package not found ```,1698,False,True,1,1,0,2026-02-14 09:51:37+00:00,89995,Turbopack Error: Failed to write app endpoint /(public)/projects/page,Turbopack Error Report,open,False,False,,https://github.com/vercel/next.js/discussions/89995,2026-02-14,7,2026-W06,,False,True,True,1
vercel/next.js,popular,D_kwDOBC3Cis4AkJjj,D_kwDOBC3Cis4AkJjj,,True,1,Ayonitemi1001,Turbopack Error: failed to receive message,Turbopack version: `b1a04a84` Next.js version: `0.0.0` Error message: ``` failed to receive message Caused by: - reading packet length - Connection reset by peer (os error 104) Debug info: - Execution of get_written_endpoint_with_issues_operation failed - Execution of PlainIssue::from_issue failed - Execution of PlainSource::from_source failed - Execution of <WebpackLoadersProcessedAsset as Asset>::content failed - Execution of WebpackLoadersProcessedAsset::process failed - Execution of evaluate_webpack_loader failed - failed to receive message - reading packet length - Connection reset by peer (os error 104) ```,644,False,True,1,1,0,2026-02-14 08:31:10+00:00,89994,Turbopack Error: failed to receive message,Turbopack Error Report,open,False,False,,https://github.com/vercel/next.js/discussions/89994,2026-02-14,7,2026-W06,,False,True,True,1
vercel/next.js,popular,D_kwDOBC3Cis4AkJdd,D_kwDOBC3Cis4AkJdd,,True,1,thipperz,cacheComponents breaks when streamed content is big enough - What is the limit?,"Hi, I'm trying to deploy a Next 16 app with cacheComponents enabled. Things seem to work fine in local and preview, but crashes when deployed with syntax errors in the minified nextjs code (unescaped quotes and things like that). I noticed that this error seems to occur when the streamed HTML is too big - but this error did not occur before with cacheComponents disabled. For example (I know this is not best practice) I fetch 1000 results in a page and them render them in a virtualized list of <Card /> components. The page uses 'use cache' and cacheLife. Like I said, it works fine with cacheComponents disabled, but throws these minification errors in prod. I just wanted to know what is the limit here ![Screenshot_5](https://github.com/user-attachments/assets/4cc78bb8-808f-4438-a2e9-cd80f6fceafa) ![Screenshot_1](https://github.com/user-attachments/assets/9dcba42c-f278-4022-98f5-e7604d1005ce) ![Screenshot_2](https://github.com/user-attachments/assets/b02537e0-6aca-41ee-97b4-49f53c894ba4) ![Screenshot_3](https://github.com/user-attachments/assets/03b74f74-feb6-4c8a-b65a-4a6c7b6890f6) ![Screenshot_4](https://github.com/user-attachments/assets/8d210f72-13c4-4ebb-983a-2892eb6e7ad9)",1220,True,False,1,1,0,2026-02-14 06:20:21+00:00,89990,cacheComponents breaks when streamed content is big enough - What is the limit?,App Router,open,False,False,,https://github.com/vercel/next.js/discussions/89990,2026-02-14,7,2026-W06,,False,True,True,1
vercel/next.js,popular,D_kwDOBC3Cis4AkJXz,D_kwDOBC3Cis4AkJXz,,True,1,Gowtham-beep,Turbopack Error: Failed to write app endpoint /page,Turbopack version: `0c06f068` Next.js version: `0.0.0` Error message: ``` Failed to write app endpoint /page Caused by: - Next.js package not found Debug info: - Execution of Project::hmr_version_state failed - Execution of Project::hmr_version failed - Execution of VersionedContentMap::get failed - Execution of VersionedContentMap::get_asset failed - Execution of VersionedContentMap::compute_entry failed - Execution of *emit_assets failed - Execution of all_assets_from_entries_operation failed - Execution of *all_assets_from_entries failed - Execution of endpoint_output_assets_operation failed - Execution of <AppEndpoint as Endpoint>::output failed - Failed to write app endpoint /page - Execution of AppEndpoint::output failed - Execution of AppEndpoint::app_page_entry failed - Execution of *get_app_page_entry failed - Execution of AppProject::rsc_module_context failed - Execution of *ModuleAssetContext::new failed - Execution of *AppProject::get_rsc_transitions failed - Execution of AppProject::ecmascript_client_reference_transition failed - Execution of *NextEcmascriptClientReferenceTransition::new failed - Execution of AppProject::ssr_transition failed - Execution of *FullContextTransition::new failed - Execution of AppProject::ssr_module_context failed - Execution of AppProject::shared_transition failed - Execution of *FullContextTransition::new failed - Execution of AppProject::shared_module_context failed - Execution of *ModuleAssetContext::new failed - Execution of get_server_resolve_options_context failed - Execution of get_next_server_import_map failed - Next.js package not found ```,1662,False,True,1,1,0,2026-02-14 05:24:46+00:00,89989,Turbopack Error: Failed to write app endpoint /page,Turbopack Error Report,open,False,False,,https://github.com/vercel/next.js/discussions/89989,2026-02-14,7,2026-W06,,False,True,True,1
